Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Vancouver Coastal,P3UR7M3Z4FZK,2024-11-05,Insite,Vancouver,Down (Unknown Opioid),Opioid,10.9
Vancouver Coastal,G7PE7NPWZNVH,2024-11-05,Insite,Vancouver,Down (Unknown Opioid),Opioid,17.4
Vancouver Coastal,HDUBM7NQBJ8H,2024-11-05,Insite,Vancouver,Down (Unknown Opioid),Opioid,16.9
Vancouver Coastal,JJTWKZ2TEHAK,2024-11-05,Insite,Vancouver,Down (Unknown Opioid),Opioid,12.1
Island Health,M3GW3F9YYEV6,2024-11-08,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,7.7
Fraser Health,T2Q7KTHG7MTU,2024-11-08,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,65.1
Fraser Health,H3TQAGBY664F,2024-11-08,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,22.6
Vancouver Coastal,YU362HNARPUU,2024-11-13,Insite,Vancouver,Down (Unknown Opioid),Opioid,15.0
Vancouver Coastal,3UEAQBYMKPQC,2024-11-12,Insite,Vancouver,Down (Unknown Opioid),Opioid,33.1
Vancouver Coastal,HCM7Y2ERVPFG,2024-11-10,Community Resource Centre,Powell River,Fentanyl,Opioid,33.9
Fraser Health,8DTWM3866ZH6,2024-11-08,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,20.6
Fraser Health,CWCMWEREYBJH,2024-11-08,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,22.6
Fraser Health,PDQC9Y97H6W2,2024-11-08,Abby Drug War Survivors (NOMAD),Abbotsford,Down (Unknown Opioid),Opioid,47.3
Island Health,X8VW9H6NWXDU,2024-11-16,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,21.9
Fraser Health,AC9U4CA672PE,2024-11-15,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,29.1
Vancouver Coastal,4V8YWYJKC83E,2024-11-15,Insite,Vancouver,Down (Unknown Opioid),Opioid,16.6
Vancouver Coastal,329W3M9MGT7R,2024-11-15,Insite,Vancouver,Down (Unknown Opioid),Opioid,20.0
Island Health,KUYAPR9RPKAD,2024-11-13,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,23.6
Vancouver Coastal,WA7JZTMX989B,2024-11-19,Insite,Vancouver,Down (Unknown Opioid),Opioid,11.2
Vancouver Coastal,PEXFXKATNJQ6,2024-11-19,Insite,Vancouver,Down (Unknown Opioid),Opioid,19.3
Vancouver Coastal,YZMJUJUTMGCD,2024-11-19,Insite,Vancouver,Down (Unknown Opioid),Opioid,18.9
Fraser Health,PF4VYTDDJZ2P,2024-11-18,Fraser Canyon Clinic (Hope),Hope,Fentanyl,Opioid,60.5
Vancouver Coastal,3444EVGXVA88,2024-11-16,Community Resource Centre,Powell River,Fentanyl,Opioid,64.8
Vancouver Coastal,JCQYXF2QEP77,2024-11-16,Community Resource Centre,Powell River,Fentanyl,Opioid,15.8
Vancouver Coastal,NM6M8VWYKTWD,2024-11-21,Insite,Vancouver,Down (Unknown Opioid),Opioid,20.1
Vancouver Coastal,FZR2DA4QFMCJ,2024-11-21,Insite,Vancouver,Down (Unknown Opioid),Opioid,18.0
Vancouver Coastal,VRCPK2ZM86YM,2024-11-20,Insite,Vancouver,Down (Unknown Opioid),Opioid,24.7
