Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Interior Health,E3GR7JG2RN74,2022-11-30,Outreach Urban Health,Kelowna,Down (Unknown Opioid),Opioid,18.2
Northern Health,DGD9NWZDB9AU,2022-11-30,Northwest ICMT,Terrace,Down (Unknown Opioid),Opioid,6.4
Vancouver Coastal,8PT8XNM379FZ,2022-11-30,Insite,Vancouver,Fentanyl,Opioid,3.3
Interior Health,QRTBD76CQTBW,2022-11-30,P+OPS Mobile (Penticton),Penticton,Down (Unknown Opioid),Opioid,12.8
Vancouver Coastal,QAHDAEDHP8Y3,2022-11-30,Insite,Vancouver,Fentanyl,Opioid,12.6
Interior Health,G3VJEZY4AYWC,2022-11-30,ANKORS (Cranbrook),Cranbrook,Down (Unknown Opioid),Opioid,30.3
Vancouver Coastal,464WDM89VMDH,2022-11-30,Insite,Vancouver,Fentanyl,Opioid,10.0
Interior Health,4KG7ABGKVA98,2022-11-30,ANKORS Outreach (Trail),Trail,Fentanyl,Opioid,10.0
Interior Health,C6MQVGNWQDEF,2022-11-30,ANKORS Outreach (Trail),Trail,Fentanyl,Opioid,12.7
Interior Health,DUUYYNN7QN6Q,2022-11-30,ANKORS Outreach (Trail),Trail,Fentanyl,Opioid,12.2
Vancouver Coastal,HJNKM7WGB9TW,2022-11-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,20.7
Interior Health,DXAA63KDBAM2,2022-11-29,ANKORS (Cranbrook),Cranbrook,Down (Unknown Opioid),Opioid,15.0
Interior Health,W4RUR3T2CUEY,2022-11-29,Cammy LaFleur Outreach (Vernon),Vernon,Down (Unknown Opioid),Opioid,14.3
Interior Health,2FX7XWGU4PEN,2022-11-29,Vernon MHSU,Vernon,Fentanyl,Opioid,7.9
Interior Health,764JH3V48W92,2022-11-29,Cammy LaFleur Outreach (Vernon),Vernon,Down (Unknown Opioid),Opioid,15.2
Northern Health,4PNETHZYAD43,2022-11-29,POUNDS,Prince George,Down (Unknown Opioid),Opioid,15.9
Northern Health,BAP3XQNEDYMR,2022-11-29,POUNDS,Prince George,Down (Unknown Opioid),Opioid,20.5
Northern Health,TH9QRN2AAW22,2022-11-29,POUNDS,Prince George,Down (Unknown Opioid),Opioid,13.6
Northern Health,YPYXDXYVFUT6,2022-11-29,POUNDS,Prince George,Down (Unknown Opioid),Opioid,11.0
Interior Health,FJDPEWUG43CZ,2022-11-29,ANKORS (Cranbrook),Cranbrook,Down (Unknown Opioid),Opioid,20.0
Interior Health,K9RWW8R7DWGR,2022-11-29,ANKORS (Cranbrook),Cranbrook,Down (Unknown Opioid),Opioid,18.8
Vancouver Coastal,R4E3AH9RAQVH,2022-11-29,Overdose Prevention Society,Vancouver,Fentanyl,Opioid,17.4
