Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Fraser Health,J76PUH6ACXDE,2024-04-27,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,12.2
Vancouver Coastal,7XA8QABR87W4,2024-04-30,Insite,Vancouver,Down (Unknown Opioid),Opioid,12.2
Vancouver Coastal,NRF4CPCHCWV4,2024-04-30,Insite,Vancouver,Down (Unknown Opioid),Opioid,22.0
Vancouver Coastal,JKV7NAXPPWAD,2024-04-30,Insite,Vancouver,Down (Unknown Opioid),Opioid,23.4
Fraser Health,Z4GWMZGWCGZG,2024-04-24,SafePoint,Surrey,Down (Unknown Opioid),Opioid,20.3
Vancouver Coastal,N6E3KM8PJTUJ,2024-04-25,Insite,Vancouver,Down (Unknown Opioid),Opioid,17.3
Vancouver Coastal,JN8RB8XUY6FH,2024-04-25,Insite,Vancouver,Down (Unknown Opioid),Opioid,16.5
Fraser Health,KT29Y4RJ2H6A,2024-04-26,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,19.9
Vancouver Coastal,8RDR7EAAZZJV,2024-04-25,Insite,Vancouver,Down (Unknown Opioid),Opioid,17.3
Vancouver Coastal,HKR63Y3WQRXW,2024-04-25,Insite,Vancouver,Down (Unknown Opioid),Opioid,16.8
Island Health,YMRCJNWMQ6DT,2024-04-27,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,16.2
Vancouver Coastal,YCZZ78KBAXX2,2024-04-26,Insite,Vancouver,Down (Unknown Opioid),Opioid,19.4
Fraser Health,BKEJU942UV7N,2024-04-24,SafePoint,Surrey,Down (Unknown Opioid),Opioid,15.6
Fraser Health,EGA7Y9XC8BXK,2024-04-24,SafePoint,Surrey,Down (Unknown Opioid),Opioid,23.1
Island Health,YNDR4GVQQN78,2024-04-22,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,5.9
Vancouver Coastal,RFTXQK4ARUHF,2024-04-18,Insite,Vancouver,Down (Unknown Opioid),Opioid,24.5
Fraser Health,CGPC76KGT7GW,2024-04-19,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,47.3
Fraser Health,2QYN86EWQBAY,2024-04-19,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,19.0
Vancouver Coastal,K4HYM349XTF8,2024-04-15,Insite,Vancouver,Down (Unknown Opioid),Opioid,25.1
Vancouver Coastal,63DW2TWR8P4T,2024-04-16,Insite,Vancouver,Down (Unknown Opioid),Opioid,22.9
Vancouver Coastal,MDKD878JUAW8,2024-04-16,Insite,Vancouver,Down (Unknown Opioid),Opioid,22.7
