Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Vancouver Coastal,JVFCMT2C2QK2,2023-08-04,Insite,Vancouver,Fentanyl,Opioid,11.5
Vancouver Coastal,B88GZP33WWKK,2023-08-04,Insite,Vancouver,Fentanyl,Opioid,20.8
Fraser Health,NUWK34B7P63J,2023-08-04,Phoenix Society The Hub,Abbotsford,Down (Unknown Opioid),Opioid,6.0
Interior Health,BJ4RQVBHTBWY,2023-08-03,Living Positive Resource Centre,Kelowna,Down (Unknown Opioid),Opioid,44.6
Vancouver Coastal,XVGHTJ26TCVH,2023-08-07,Insite,Vancouver,Fentanyl,Opioid,15.7
Vancouver Coastal,Y69GUHKFFNM3,2023-08-02,Insite,Vancouver,Fentanyl,Opioid,21.6
Fraser Health,KWXHJXPG7HBB,2023-08-01,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,15.0
Vancouver Coastal,K9NEZM2KAACG,2023-08-01,Insite,Vancouver,Fentanyl,Opioid,17.3
Island Health,VTDM22JBNE7C,2023-08-31,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,5.2
Vancouver Coastal,YNWD2V4EYWPD,2023-08-31,Dr. Peter Centre,Vancouver,Fentanyl,Opioid,22.0
Island Health,4EQ6ZG4MJ2ZE,2023-08-31,CMHA (Albert St.),Nanaimo,Fentanyl,Opioid,46.3
Island Health,EQKY89YD8F9V,2023-08-31,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,7.2
Interior Health,DURA8EHN9ACN,2023-08-31,Living Positive Resource Centre,Kelowna,Down (Unknown Opioid),Opioid,17.3
Vancouver Coastal,N6CV3XVR96ZX,2023-08-31,Dr. Peter Centre,Vancouver,Fentanyl,Opioid,21.1
Fraser Health,JX84BHBJRVTD,2023-08-30,Ruth and Naomi's (Chilliwack),Chilliwack,Down (Unknown Opioid),Opioid,16.4
Fraser Health,Y4ENC99K38CB,2023-08-30,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,15.9
Vancouver Coastal,FPXQ8WTHDV8M,2023-08-28,Community Resource Centre,Powell River,Fentanyl,Opioid,23.6
Vancouver Coastal,UE2ARXZWMVKP,2023-08-28,Community Resource Centre,Powell River,Fentanyl,Opioid,21.0
Vancouver Coastal,Y4GYZ4CUXYKZ,2023-08-28,Community Resource Centre,Powell River,Fentanyl,Opioid,23.4
Vancouver Coastal,8YDVKARRAPZ8,2023-08-23,Community Resource Centre,Powell River,Fentanyl,Opioid,12.9
Fraser Health,KC72KNRK38D9,2023-08-15,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,58.0
Fraser Health,Q4HGNBAYC3PQ,2023-08-15,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,59.9
Fraser Health,7R8T6TRQ977U,2023-08-09,PCRS Wellness Centre,Chilliwack,Fentanyl,Opioid,32.9
Island Health,7T6QPXWD7HTE,2023-08-12,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,15.0
Vancouver Coastal,6N8RGU2BTH9K,2023-08-22,Community Resource Centre,Powell River,Fentanyl,Opioid,17.7
Fraser Health,NRG777WJ78RU,2023-08-30,Ruth and Naomi's (Chilliwack),Chilliwack,Down (Unknown Opioid),Opioid,16.5
Interior Health,YD6TEP6WQNJE,2023-08-30,Outreach Urban Health,Kelowna,Down (Unknown Opioid),Opioid,45.5
Vancouver Coastal,VVNFDT4QX7R4,2023-08-05,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,25.0
Vancouver Coastal,YT3NHVYGD7W2,2023-08-02,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,22.7
Vancouver Coastal,9PD2Z4THW2A3,2023-08-01,Insite,Vancouver,Fentanyl,Opioid,17.2
Fraser Health,YPGXPKPTUKGN,2023-08-01,Lookout Society Red Lion,Abbotsford,Down (Unknown Opioid),Opioid,10.0
Fraser Health,NKAVYYUWPVXA,2023-08-30,Ruth and Naomi's (Chilliwack),Chilliwack,Down (Unknown Opioid),Opioid,8.4
Interior Health,QA4J9KJ3ZK93,2023-08-30,Outreach Urban Health,Kelowna,Fentanyl,Opioid,15.7
Vancouver Coastal,W7M2PPEUY82M,2023-08-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,27.6
Fraser Health,UNXA3CFC2NM3,2023-08-30,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,8.6
Vancouver Coastal,U2N6BPJYVCU2,2023-08-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.8
Vancouver Coastal,UBVYZHWHA3ZY,2023-08-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,21.5
Fraser Health,4H7AM2GP9E6D,2023-08-29,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,12.4
Vancouver Coastal,42JBRTTVK972,2023-08-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,22.9
Vancouver Coastal,RM2QFZTPMQGY,2023-08-26,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,27.1
Vancouver Coastal,ANP8RARYNC4J,2023-08-25,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,16.2
Vancouver Coastal,ABTUNB7Q2XJC,2023-08-24,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,18.5
Interior Health,PY22NX3AUAP3,2023-08-23,ANKORS Outreach (Trail),Trail,Fentanyl,Opioid,7.9
Fraser Health,8MQKHCXEF9BE,2023-08-23,Ruth and Naomi's (Chilliwack),Chilliwack,Down (Unknown Opioid),Opioid,5.3
Fraser Health,996ATACEWVNJ,2023-08-23,Ruth and Naomi's (Chilliwack),Chilliwack,Down (Unknown Opioid),Opioid,18.3
Interior Health,XMZ926BHM9F9,2023-08-23,ANKORS Outreach (Trail),Trail,Fentanyl,Opioid,12.0
Vancouver Coastal,WD9VEAJDHWU2,2023-08-21,Insite,Vancouver,Fentanyl,Opioid,18.8
